Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
Species Family,Species,ID,Time,Date,User,City,District,Place,Altitude,Latitude,Longitude,Description
春蜓科,鉤紋春蜓,55421,08:28:00,2019-06-21,skink,新竹縣,關西鎮,七寮,246,24.79114769337063,121.21830761421734,
春蜓科,鉤紋春蜓,55339,11:40:00,2019-06-20,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
春蜓科,鉤紋春蜓,55086,08:50:00,2019-06-19,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
春蜓科,鉤紋春蜓,55101,11:08:00,2019-06-19,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,55296,12:45:00,2019-06-19,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
春蜓科,鉤紋春蜓,49969,15:10:00,2019-06-18,王振芳,苗栗縣,三義鄉,雙潭村深水,419,24.389921963074173,120.78988194465637,
春蜓科,鉤紋春蜓,54412,10:01:00,2019-06-07,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,54421,12:10:00,2019-06-07,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
春蜓科,鉤紋春蜓,54440,09:02:00,2019-06-07,skink,新竹縣,關西鎮,天城橋,140,24.763252996584185,121.17378115653992,
春蜓科,鉤紋春蜓,54297,10:22:00,2019-05-26,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
春蜓科,鉤紋春蜓,50472,08:50:00,2019-05-13,skink,新竹縣,關西鎮,燥坑溪石拱橋,222,24.768941045612536,121.1557472670246,
春蜓科,鉤紋春蜓,49092,11:55:00,2019-05-11,skink,新竹縣,關西鎮,新富石拱橋,173,24.75399526145776,121.18880931286185,
春蜓科,鉤紋春蜓,49109,14:00:00,2019-05-11,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
春蜓科,鉤紋春蜓,49711,09:46:00,2019-05-11,skink,新竹縣,關西鎮,石牛坑溪登山口,326,24.78480592039393,121.2491512298584,
春蜓科,鉤紋春蜓,50499,13:50:00,2019-05-11,skink,新竹縣,關西鎮,四寮溪七寮,246,24.79114769337063,121.21830761421734,
春蜓科,鉤紋春蜓,48644,13:30:00,2019-04-24,skink,新竹縣,關西鎮,壽桃橋,218,24.769766385811515,121.22445240617708,
春蜓科,鉤紋春蜓,48576,09:42:00,2019-04-23,skink,新竹縣,關西鎮,阿化窩,307,24.77865056161526,121.22848644853548,
春蜓科,鉤紋春蜓,48599,13:45:00,2019-04-23,skink,新竹縣,橫山鄉,沙坑溪東沙橋下,170,24.73564517955009,121.16572380065918,
春蜓科,鉤紋春蜓,48354,09:00:00,2019-04-22,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
春蜓科,鉤紋春蜓,46710,12:02:00,2019-04-09,skink,台北市,文山區,臺北市立動物園保育區停車場,53,24.996867799640658,121.58813148736954,
春蜓科,鉤紋春蜓,47912,12:55:00,2019-04-09,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
春蜓科,鉤紋春蜓,46230,12:05:00,2019-03-27,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
春蜓科,鉤紋春蜓,46016,16:20:00,2019-03-22,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
春蜓科,鉤紋春蜓,45828,16:15:00,2019-03-20,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
春蜓科,鉤紋春蜓,45658,12:05:00,2019-03-17,skink,台北市,文山區,臺北市立動物園昆蟲館,65,24.993724516679826,121.58088952302933,
春蜓科,鉤紋春蜓,36330,10:33:00,2018-06-27,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
春蜓科,鉤紋春蜓,35534,10:02:00,2018-06-06,江上飄,新竹縣,關西鎮,石牛山,233,24.750826096942766,121.206214427948,
春蜓科,鉤紋春蜓,35232,11:13:00,2018-05-30,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
春蜓科,鉤紋春蜓,34942,11:34:00,2018-05-26,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
春蜓科,鉤紋春蜓,34642,10:28:00,2018-05-21,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
春蜓科,鉤紋春蜓,34575,14:40:00,2018-05-19,Leo,台北市,內湖區,內溝溪,54,25.09747230292228,121.613609790802,
春蜓科,鉤紋春蜓,34671,11:00:00,2018-05-19,hsulan,新北市,雙溪區,燦光寮古道,478,25.09053495366364,121.86870539786878,
春蜓科,鉤紋春蜓,34572,14:46:00,2018-05-18,天空遊民,新竹縣,關西鎮,石牛山溪,328,24.78132,121.24476,
春蜓科,鉤紋春蜓,34440,12:40:00,2018-05-16,skink,台北市,文山區,小坑溪,105,24.982829368184813,121.58337593078613,
