Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
珈蟌科,細胸珈蟌,67405,09:13:00,2020-05-24,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
珈蟌科,細胸珈蟌,62947,13:10:00,2020-05-10,趙偉凱,宜蘭縣,員山鄉,雙連埤粗坑溪支流,518,24.75538585637881,121.63086175918579,
珈蟌科,細胸珈蟌,65970,11:02:00,2020-05-08,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
珈蟌科,細胸珈蟌,66085,08:38:00,2020-05-08,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
珈蟌科,細胸珈蟌,62709,12:25:00,2020-05-05,skink,台北市,文山區,指南路三段二格山登山口,413,24.970578789487025,121.61453209363617,
珈蟌科,細胸珈蟌,62679,06:20:00,2020-05-04,趙偉凱,宜蘭縣,員山鄉,雙連埤粗坑溪支流,518,24.75538585637881,121.63086175918579,
珈蟌科,細胸珈蟌,62455,12:25:00,2020-04-30,skink,台北市,文山區,指南路三段二格山登山口,413,24.970578789487025,121.61453209363617,
珈蟌科,細胸珈蟌,62702,12:05:00,2020-04-28,ying-o hsiung,新竹縣,峨眉鄉,石硬子,228,24.668741339913947,121.04620456695555,
珈蟌科,細胸珈蟌,62707,13:58:00,2020-04-28,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668088109660882,121.04517459869385,
珈蟌科,細胸珈蟌,63914,12:04:00,2020-04-28,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
珈蟌科,細胸珈蟌,63924,08:56:00,2020-04-28,skink,新竹縣,關西鎮,錦山里石牛坑溪登山口,311,24.784942288562245,121.2491512298584,
珈蟌科,細胸珈蟌,63985,11:36:00,2020-04-28,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
珈蟌科,細胸珈蟌,62667,15:13:00,2020-04-20,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668078359929684,121.0450780391693,
珈蟌科,細胸珈蟌,62668,15:16:00,2020-04-20,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668068610197746,121.0450780391693,
珈蟌科,細胸珈蟌,62057,12:31:00,2020-04-19,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.66854634616668,121.04576468467711,
珈蟌科,細胸珈蟌,62067,13:58:00,2020-04-19,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668185606930738,121.04520678520204,
珈蟌科,細胸珈蟌,62370,13:00:00,2020-04-18,rswu,新北市,汐止區,下寮溪,41,25.052362784717364,121.64538860321044,
珈蟌科,細胸珈蟌,62031,12:27:00,2020-04-17,skink,台北市,文山區,指南路三段二格山登山口,413,24.970578789487025,121.61453209363617,
珈蟌科,細胸珈蟌,62068,17:18:00,2020-04-17,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668585344940514,121.04555010795593,
珈蟌科,細胸珈蟌,62654,14:31:00,2020-04-17,ying-o hsiung,新竹縣,峨眉鄉,石硬子,225,24.667971112836472,121.04442358016968,
珈蟌科,細胸珈蟌,61989,12:15:00,2020-04-16,skink,台北市,士林區,坪頂古圳步道,387,25.1369222069803,121.58607959747313,
珈蟌科,細胸珈蟌,61923,11:30:00,2020-04-15,rswu,桃園市,復興區,東眼山大門前約三百公尺路旁水源地,864,24.836537134760995,121.41008377075197,
珈蟌科,細胸珈蟌,61925,10:00:00,2020-04-15,leowang,基隆市,七堵區,富民親水公園,89,25.133260439926286,121.67375564575194,
珈蟌科,細胸珈蟌,61877,16:00:00,2020-04-14,Leo,新北市,貢寮區,土地公嶺,198,25.063384179213966,121.88919067382812,
珈蟌科,細胸珈蟌,62826,09:41:00,2020-04-10,skink,新竹縣,關西鎮,錦山里而完窩溪源流,558,24.763667042793838,121.25746607780455,
珈蟌科,細胸珈蟌,63188,08:50:00,2020-04-10,skink,新竹縣,關西鎮,阿化窩溪源流,307,24.77865056161526,121.22848644853548,
珈蟌科,細胸珈蟌,63202,09:09:00,2020-04-10,skink,新竹縣,關西鎮,馬武督溪探索森林入口,514,24.755717114433914,121.25126481056212,
珈蟌科,細胸珈蟌,61742,13:04:00,2020-04-09,ying-o hsiung,新竹縣,峨眉鄉,石硬子,219,24.66880958765347,121.04543209075928,
珈蟌科,細胸珈蟌,61745,13:34:00,2020-04-09,ying-o hsiung,新竹縣,峨眉鄉,石硬子,220,24.668741339913947,121.0452926158905,
珈蟌科,細胸珈蟌,62808,12:13:00,2020-04-09,skink,新竹縣,關西鎮,錦山里錦發橋,241,24.775513050757304,121.23855113983154,
珈蟌科,細胸珈蟌,62524,10:01:00,2020-04-08,skink,新竹縣,關西鎮,錦山里石牛山登山口,311,24.784942288562245,121.2491512298584,
珈蟌科,細胸珈蟌,62773,12:45:00,2020-04-08,skink,新竹縣,關西鎮,四寮溪溪流生態戶外教室,209,24.7911882770514,121.20477139949799,
珈蟌科,細胸珈蟌,61307,10:32:00,2020-03-25,天空遊民,新竹縣,關西鎮,四寮溪,183,24.79157544493477,121.20391845703125,
